model-1615048505, 1615048505.498, 0.49, 0.25, 0.48,0.251
model-1615048505, 1615048505.546, 0.56, 0.248, 0.53,0.2493
model-1615048505, 1615048505.594, 0.53, 0.2496, 0.46,0.2554
model-1615048505, 1615048505.645, 0.54, 0.2484, 0.49,0.2501
model-1615048505, 1615048505.697, 0.49, 0.2495, 0.52,0.25
model-1615048505, 1615048505.747, 0.46, 0.2529, 0.48,0.2504
model-1615048505, 1615048505.796, 0.38, 0.2566, 0.43,0.2531
model-1615048505, 1615048505.846, 0.49, 0.2487, 0.55,0.2461
model-1615048505, 1615048505.893, 0.48, 0.247, 0.55,0.2463
model-1615048505, 1615048505.943, 0.58, 0.2446, 0.53,0.2529
model-1615048505, 1615048505.999, 0.62, 0.2417, 0.56,0.2469
model-1615048505, 1615048506.048, 0.51, 0.2542, 0.49,0.2567
model-1615048505, 1615048506.098, 0.55, 0.2431, 0.56,0.2436
model-1615048505, 1615048506.152, 0.53, 0.2418, 0.53,0.241
model-1615048505, 1615048506.201, 0.59, 0.2412, 0.52,0.2488
model-1615048505, 1615048506.247, 0.51, 0.2468, 0.55,0.2515
model-1615048505, 1615048506.299, 0.59, 0.2512, 0.56,0.2484
model-1615048505, 1615048506.346, 0.61, 0.2367, 0.53,0.2509
model-1615048505, 1615048506.399, 0.55, 0.2363, 0.68,0.2355
model-1615048505, 1615048506.447, 0.55, 0.2454, 0.57,0.257
model-1615048505, 1615048506.496, 0.5, 0.266, 0.61,0.2274
model-1615048505, 1615048506.543, 0.53, 0.2611, 0.48,0.2684
model-1615048505, 1615048506.592, 0.57, 0.2323, 0.54,0.2536
model-1615048505, 1615048506.638, 0.48, 0.2495, 0.61,0.2368
model-1615048505, 1615048506.688, 0.56, 0.2449, 0.56,0.2383
model-1615048505, 1615048506.737, 0.57, 0.243, 0.63,0.2335
model-1615048505, 1615048506.784, 0.57, 0.2467, 0.62,0.2368
model-1615048505, 1615048506.834, 0.54, 0.2488, 0.58,0.2426
model-1615048505, 1615048506.88, 0.61, 0.2319, 0.64,0.228
model-1615048505, 1615048506.93, 0.59, 0.2508, 0.64,0.2265
model-1615048505, 1615048506.979, 0.69, 0.2099, 0.65,0.2157
model-1615048505, 1615048507.033, 0.63, 0.233, 0.67,0.2214
model-1615048505, 1615048507.084, 0.62, 0.2308, 0.6,0.2436
model-1615048505, 1615048507.131, 0.58, 0.2388, 0.54,0.2375
model-1615048505, 1615048507.184, 0.64, 0.2322, 0.57,0.2364
model-1615048505, 1615048507.233, 0.57, 0.2417, 0.7,0.2064
model-1615048505, 1615048507.283, 0.42, 0.2861, 0.52,0.2512
model-1615048505, 1615048507.329, 0.55, 0.2416, 0.64,0.2276
model-1615048505, 1615048507.375, 0.7, 0.2291, 0.6,0.232
model-1615048505, 1615048507.425, 0.65, 0.2308, 0.58,0.2263
model-1615048505, 1615048507.475, 0.48, 0.2516, 0.61,0.2335
model-1615048505, 1615048507.526, 0.6, 0.2422, 0.61,0.2298
model-1615048505, 1615048507.573, 0.56, 0.2429, 0.61,0.2184
model-1615048505, 1615048507.623, 0.55, 0.2541, 0.58,0.2447
model-1615048505, 1615048507.67, 0.55, 0.2488, 0.67,0.2231
model-1615048505, 1615048507.716, 0.61, 0.2362, 0.68,0.2339
model-1615048505, 1615048507.772, 0.68, 0.2168, 0.62,0.2295
model-1615048505, 1615048507.822, 0.67, 0.2196, 0.57,0.2481
model-1615048505, 1615048507.874, 0.63, 0.2285, 0.66,0.2203
model-1615048505, 1615048507.922, 0.56, 0.2564, 0.62,0.2268
model-1615048505, 1615048507.972, 0.63, 0.2342, 0.65,0.2172
model-1615048505, 1615048508.026, 0.57, 0.2362, 0.67,0.2332
model-1615048505, 1615048508.073, 0.63, 0.2292, 0.62,0.2437
model-1615048505, 1615048508.123, 0.65, 0.2159, 0.66,0.2174
model-1615048505, 1615048508.169, 0.61, 0.2504, 0.67,0.2172
model-1615048505, 1615048508.217, 0.71, 0.2195, 0.61,0.2469
model-1615048505, 1615048508.27, 0.62, 0.2172, 0.63,0.2341
model-1615048505, 1615048508.319, 0.52, 0.2442, 0.67,0.2211
model-1615048505, 1615048508.366, 0.62, 0.2251, 0.61,0.2328
model-1615048505, 1615048508.415, 0.7, 0.2058, 0.59,0.2404
model-1615048505, 1615048508.466, 0.67, 0.2268, 0.61,0.2263
model-1615048505, 1615048508.517, 0.61, 0.2208, 0.69,0.2079
model-1615048505, 1615048508.566, 0.68, 0.2173, 0.6,0.2315
model-1615048505, 1615048508.613, 0.7, 0.2171, 0.61,0.2148
