model-1615048635, 1615048635.707, 0.5, 0.25, 0.43,0.2581
model-1615048635, 1615048635.755, 0.56, 0.2476, 0.44,0.2565
model-1615048635, 1615048635.802, 0.53, 0.2494, 0.48,0.2518
model-1615048635, 1615048635.854, 0.56, 0.2484, 0.49,0.2506
model-1615048635, 1615048635.906, 0.55, 0.2476, 0.49,0.25
model-1615048635, 1615048635.955, 0.46, 0.2603, 0.54,0.2468
model-1615048635, 1615048636.003, 0.38, 0.2613, 0.54,0.2465
model-1615048635, 1615048636.054, 0.49, 0.2484, 0.48,0.2465
model-1615048635, 1615048636.1, 0.54, 0.2473, 0.55,0.2469
model-1615048635, 1615048636.151, 0.56, 0.244, 0.54,0.2465
model-1615048635, 1615048636.197, 0.59, 0.2402, 0.59,0.24
model-1615048635, 1615048636.245, 0.56, 0.2444, 0.55,0.2414
model-1615048635, 1615048636.304, 0.59, 0.2417, 0.5,0.253
model-1615048635, 1615048636.355, 0.58, 0.2427, 0.65,0.2296
model-1615048635, 1615048636.408, 0.67, 0.2358, 0.66,0.2333
model-1615048635, 1615048636.462, 0.59, 0.2393, 0.66,0.2246
model-1615048635, 1615048636.513, 0.56, 0.2555, 0.58,0.2386
model-1615048635, 1615048636.563, 0.55, 0.2387, 0.56,0.2439
model-1615048635, 1615048636.616, 0.55, 0.2424, 0.45,0.2513
model-1615048635, 1615048636.663, 0.57, 0.2439, 0.7,0.2235
model-1615048635, 1615048636.712, 0.53, 0.2481, 0.5,0.2512
model-1615048635, 1615048636.763, 0.5, 0.254, 0.43,0.2638
model-1615048635, 1615048636.813, 0.66, 0.2277, 0.46,0.2598
model-1615048635, 1615048636.86, 0.6, 0.2421, 0.6,0.245
model-1615048635, 1615048636.914, 0.55, 0.2457, 0.63,0.2421
model-1615048635, 1615048636.961, 0.53, 0.2451, 0.53,0.2415
model-1615048635, 1615048637.01, 0.55, 0.2477, 0.71,0.2106
model-1615048635, 1615048637.057, 0.55, 0.2498, 0.57,0.2394
model-1615048635, 1615048637.105, 0.56, 0.2343, 0.62,0.2303
model-1615048635, 1615048637.158, 0.56, 0.2524, 0.67,0.2207
model-1615048635, 1615048637.205, 0.67, 0.2148, 0.59,0.2397
model-1615048635, 1615048637.258, 0.61, 0.2417, 0.6,0.2434
model-1615048635, 1615048637.312, 0.61, 0.2298, 0.58,0.243
model-1615048635, 1615048637.363, 0.59, 0.237, 0.6,0.2324
model-1615048635, 1615048637.41, 0.59, 0.2303, 0.59,0.2385
model-1615048635, 1615048637.48, 0.5, 0.2525, 0.57,0.2477
model-1615048635, 1615048637.527, 0.58, 0.2393, 0.57,0.2398
model-1615048635, 1615048637.586, 0.58, 0.2356, 0.5,0.2469
model-1615048635, 1615048637.637, 0.59, 0.2356, 0.54,0.2462
model-1615048635, 1615048637.688, 0.69, 0.2248, 0.7,0.2234
model-1615048635, 1615048637.734, 0.59, 0.234, 0.58,0.2428
model-1615048635, 1615048637.781, 0.47, 0.2616, 0.5,0.2549
model-1615048635, 1615048637.832, 0.52, 0.25, 0.62,0.2265
model-1615048635, 1615048637.878, 0.58, 0.2434, 0.64,0.2165
model-1615048635, 1615048637.929, 0.52, 0.253, 0.73,0.2059
model-1615048635, 1615048637.976, 0.55, 0.2408, 0.6,0.2332
model-1615048635, 1615048638.025, 0.64, 0.2147, 0.67,0.2228
model-1615048635, 1615048638.072, 0.63, 0.2219, 0.66,0.2228
model-1615048635, 1615048638.118, 0.63, 0.2298, 0.65,0.2245
model-1615048635, 1615048638.17, 0.52, 0.248, 0.65,0.2307
model-1615048635, 1615048638.217, 0.66, 0.2244, 0.69,0.2051
model-1615048635, 1615048638.27, 0.65, 0.222, 0.68,0.2284
model-1615048635, 1615048638.317, 0.58, 0.2356, 0.61,0.2276
model-1615048635, 1615048638.368, 0.64, 0.2282, 0.59,0.2275
model-1615048635, 1615048638.419, 0.51, 0.253, 0.61,0.2326
model-1615048635, 1615048638.473, 0.69, 0.2063, 0.61,0.2687
model-1615048635, 1615048638.527, 0.62, 0.2089, 0.69,0.2064
model-1615048635, 1615048638.575, 0.59, 0.2397, 0.63,0.2217
model-1615048635, 1615048638.625, 0.7, 0.2095, 0.65,0.2305
model-1615048635, 1615048638.672, 0.72, 0.2066, 0.66,0.2176
model-1615048635, 1615048638.722, 0.63, 0.2342, 0.63,0.2141
model-1615048635, 1615048638.773, 0.7, 0.2159, 0.65,0.2243
model-1615048635, 1615048638.825, 0.65, 0.2048, 0.74,0.1855
model-1615048635, 1615048638.872, 0.69, 0.2197, 0.71,0.1959
model-1615048635, 1615048638.918, 0.63, 0.2216, 0.61,0.2293
model-1615048635, 1615048638.968, 0.66, 0.2234, 0.62,0.2273
model-1615048635, 1615048639.015, 0.68, 0.2008, 0.61,0.2389
model-1615048635, 1615048639.07, 0.68, 0.2176, 0.62,0.223
model-1615048635, 1615048639.118, 0.63, 0.2038, 0.6,0.2356
model-1615048635, 1615048639.171, 0.63, 0.2185, 0.67,0.2028
model-1615048635, 1615048639.219, 0.68, 0.2039, 0.62,0.2236
model-1615048635, 1615048639.267, 0.68, 0.2029, 0.65,0.2094
model-1615048635, 1615048639.319, 0.65, 0.2241, 0.62,0.2461
model-1615048635, 1615048639.367, 0.66, 0.2104, 0.63,0.2376
model-1615048635, 1615048639.424, 0.63, 0.2379, 0.66,0.2177
model-1615048635, 1615048639.484, 0.58, 0.2522, 0.63,0.2349
model-1615048635, 1615048639.536, 0.6, 0.224, 0.6,0.2281
model-1615048635, 1615048639.588, 0.68, 0.2233, 0.6,0.2246
model-1615048635, 1615048639.635, 0.66, 0.2133, 0.68,0.211
model-1615048635, 1615048639.684, 0.73, 0.2052, 0.61,0.2347
model-1615048635, 1615048639.731, 0.66, 0.2009, 0.66,0.2381
model-1615048635, 1615048639.782, 0.66, 0.2279, 0.78,0.1747
model-1615048635, 1615048639.837, 0.6, 0.2317, 0.58,0.2343
model-1615048635, 1615048639.884, 0.66, 0.2085, 0.62,0.2186
model-1615048635, 1615048639.935, 0.69, 0.185, 0.7,0.1964
model-1615048635, 1615048639.982, 0.76, 0.1787, 0.69,0.1935
model-1615048635, 1615048640.03, 0.67, 0.2234, 0.69,0.21
